population,islam,daoist,hindu,shintoism,sunni_muslim,buddhist,chrsitian,roman_catholic,protestant,greek_orthodox,lutheran_church_of_finland,GDP per capita $,GNP (billion),Land Area (sq km),birth rate / 1000 population,mortality rate,unemployment rate %,population below poverty line %,median age,population growth rate %,debt % of GDP,literacy rate %,inflation rate %,net migration rate migrants(s) /1000 population,urban population %,Continent,country
66720153,0,0,0,0,0,1,0,0,0,0,0,8700,197,513120,12.95,7.29,1.1,9.6,34.2,0.566,43.1,92.6,0,0,34,SE_Asia_(ASEAN),Thailand
90549390,0,0,0,0,0,1,0,0,0,0,0,3100,51.7,331210,17.07,5.96,4.4,10.6,27.8,1.077,57.1,94,0,-0.35,30,SE_Asia_(ASEAN),Vietnam
101833938,0,0,0,0,0,0,0,1,0,0,0,3500,80.85,300000,25.34,5.02,7.3,32.9,22.9,1.903,55.4,92.6,3.8,-1.29,49,SE_Asia_(ASEAN),Philippines
4740737,0,0,0,0,0,1,0,0,0,0,0,62100,88.81,697,8.5,4.95,2.2,0,40.1,0.817,105.8,92.5,2.8,4.63,100,SE_Asia_(ASEAN),Singapore
245613043,1,0,0,0,0,0,0,0,0,0,0,4200,145,1904569,18.1,6.26,22.2,13.33,28.2,1.069,25.5,90.4,5.1,-1.15,44,SE_Asia_(ASEAN),Indonesia
41769726,0,0,0,0,0,0,0,1,0,0,0,14700,616.13,2780400,17.54,7.38,7.9,30,30.5,1.017,45.1,97.2,22,0,92,South_America,Argentina
203429773,0,0,0,0,0,0,0,1,0,0,0,10800,2130,8514877,17.79,6.36,6.7,26,29.3,1.134,59,88.6,5,-0.09,87,South_America,Brazil
34030589,0,0,0,0,0,0,0,1,0,0,0,39400,1260,9984670,10.28,7.98,8,9.4,41,0.794,84,99,1.8,5.65,81,North_America,Canada
16888760,0,0,0,0,0,0,0,1,0,0,0,15400,237.96,7556102,14.33,5.97,7.1,11.5,32.1,0.836,9.2,95.7,1.4,0,89,South_America,Chile
15007343,0,0,0,0,0,0,0,1,0,0,0,7800,127.76,283561,19.96,5,7.6,33.1,25.7,1.443,23.2,91,3.6,-0.52,67,South_America,Ecuador
2868380,0,0,0,0,0,0,0,0,1,0,0,8300,20.14,10991,19.2,6.54,12.9,16.5,24.2,0.733,126.5,87.9,12.6,-5.34,52,Caribbean,Jamaica
133724226,0,0,0,0,0,0,0,1,0,0,0,13900,1630,1964375,19.13,4.86,5.4,18.2,27.1,1.102,36.8,86.1,4.2,-3.24,78,North_America,Mexico
3460462,0,0,0,0,0,0,0,1,0,0,0,13000,45.41,75420,19.43,4.65,4.2,25.6,27.5,1.435,43.3,91.1,3.5,-0.42,75,Central_America,Panama
3989133,0,0,0,0,0,0,0,1,0,0,0,16300,53.4,13790,11.35,7.95,12,0,37.3,0.254,0,94.1,2.5,-0.86,99,Caribbean,Puerto Rico
313232044,0,0,0,0,0,0,0,0,1,0,0,47200,14560,9826675,13.83,8.38,9.6,15.1,36.9,0.963,62.3,99,1.6,4.18,82,North_America,United_States_of_America
21766711,0,0,0,0,0,0,0,0,1,0,0,41000,655,7682300,12.33,6.88,11.6,0,37.7,1.148,26.6,99,2.8,6.03,89,Oceania,Australia
4290347,0,0,0,0,0,0,0,0,1,0,0,27700,107,267710,13.68,7.15,6.5,0,37,0.882,30.1,99,2.3,2.28,86,Oceania,New_Zealand
224564,0,0,0,0,0,0,0,0,1,0,0,5100,0.34,12189,20.86,7.43,1.7,0,24.9,1.343,0,74,2.8,0,26,Oceania,Vanuatu
105916,0,0,0,0,0,0,1,0,0,0,0,6100,0.22,747,25.27,4.9,13,24,21.4,0.243,0,98.9,3.6,-17.94,23,Oceania,Tonga
20956,0,0,0,0,0,0,0,1,0,0,0,8100,0.15,459,10.74,7.87,4.2,0,32.6,0.363,0,92,2.7,0.76,83,Oceania,Palau
10544,0,0,0,0,0,0,0,0,1,0,0,3400,0.03,26,23.24,9.2,0,0,24.1,0.702,0,0,3.8,-7.02,50,Oceania,Tuvalu
571890,0,0,0,0,0,0,0,0,1,0,0,2900,0.28,28896,28.03,3.93,0,0,20.9,2.22,0,0,1.3,-1.9,19,Oceania,Solomon_Islands
9322,0,0,0,0,0,0,0,0,1,0,0,5000,0.17,21,27.78,6.11,90,0,24.2,0.611,0,0,0,-15.55,100,Oceania,Nauru
106836,0,0,0,0,0,0,0,1,0,0,0,2200,0.25,702,22.22,4.35,22,26.7,22.7,-0.313,0,89,2.2,-20.99,23,Oceania,Micronesia
67182,0,0,0,0,0,0,0,0,1,0,0,2500,0.19,181,29.11,4.38,36,0,21.8,1.954,0,93.7,12.9,-5.19,72,Oceania,Marshall_Islands
100743,0,0,0,0,0,0,0,1,0,0,0,6200,0.14,811,22.73,7.4,2,0,22.5,1.249,0,0,0.2,-2.85,44,Oceania,Kiribati
883125,0,0,0,0,0,0,0,0,1,0,0,4400,2.78,18274,21.11,5.9,7.6,25.5,26.9,0.798,0,93.7,-3.3,-7.24,52,Oceania,Fiji
,,,,,,,,,,,,,,,,,,,,,,,,,,,
85120900.16,0.196428571,0.017857143,0.017857143,0.017857143,0.017857143,0.089285714,0.071428571,0.321428571,0.214285714,0.017857143,0.017857143,16335.71429,724.6508929,1285165.518,18.60107143,7.180892857,13.38035714,15.32375,30.02142857,1.020125,43.51785714,83.0875,2.807142857,-1.072678571,53.78571429,,
235241411.6,0.397296348,0.132432116,0.132432116,0.132432116,0.132432116,0.285155704,0.257539377,0.467024887,0.410325903,0.132432116,0.132432116,14492.05975,2066.289009,2462715.309,7.962804082,3.358003912,14.64893243,14.45302694,7.451071694,0.788248285,42.91807439,24.88758341,4.066845792,5.636367083,33.02743139,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.356681226,1,0,0,0,0,0,0,0,0,0,0,1.653614884,-0.345716833,-0.521540396,-0.497446802,-1.361193428,0.110563883,-1.060245031,0.117912089,2.275774059,0.519178532,0.137116567,-0.19846901,3.04676369,1.066213273,Asia,Bahrain
5.320479529,0,1,0,0,0,0,0,0,0,0,0,-0.602793146,0.744982478,-0.129614867,-0.79256897,-0.044935283,-0.619864771,-0.866513987,0.735272945,-0.66872965,-0.573601157,0.366146437,0.096599961,0.131765472,-0.205456919,Asia,China
4.693272321,0,0,1,0,0,0,0,0,0,0,0,-0.885706691,0.033078193,0.812963429,0.297499291,0.089072899,-0.176146429,0.669496434,-0.512869655,0.405804879,0.19530566,-0.887490747,2.260439076,0.181442861,-0.720180568,Asia,India
0.175797125,0,0,0,1,0,0,0,0,0,0,0,1.218894071,2.063287899,-0.368394396,-1.417976797,0.866320355,-0.572079719,0.026032609,1.983415546,-1.646847858,3.58781574,0.639375055,-0.862374193,0.190313824,0.400100315,Asia,Japan
-0.33417853,0,0,0,0,1,0,0,0,0,0,0,-0.754600414,-0.344168163,-0.485571155,1.028397595,-1.337369751,-0.060097017,-0.091589811,-1.063126071,-0.045829469,0.458597995,0.273730876,0.539203416,-2.339684629,0.763434656,Asia,Jordan
-0.344232755,1,0,0,0,0,0,0,0,0,0,0,-0.133570681,-0.340006112,-0.517626018,-0.44972492,-0.190855304,-0.91340152,0.87706541,-0.029717681,-0.984619966,2.10359258,0.173279178,0.293312607,-0.881298424,1.005657549,Asia,Lebanon
-0.257877249,0,0,0,0,0,1,0,0,0,0,0,-1.003012307,0.025334843,-0.472903836,-0.51377271,0.565546435,-0.91340152,-1.060245031,0.386329853,-0.611641039,-1.013975062,0.639375055,-0.690250627,0.183217054,0.188155283,Asia,N._Korea
-0.154591162,0,0,0,0,0,0,1,0,0,0,0,0.942880857,0.025334843,-0.481357108,-1.26225276,-0.274238173,-0.660823387,-0.022400152,1.124478702,-1.002380867,-0.485060372,0.599194376,0.047421799,0.190313824,0.884546102,Asia,S._Korea
-0.271367982,0,0,0,0,0,1,0,0,0,0,0,-0.782201735,-0.339667341,-0.495207673,-0.148323557,-0.375488799,-0.517468231,0.531117117,0.104491201,-0.109261259,0.894311858,0.317929623,0.760505144,-0.192911748,-1.204626355,Asia,Sri_Lanka
-0.026931279,1,0,0,0,0,0,0,0,0,0,0,-0.278477618,-0.185187499,-0.203679051,-0.084275768,-0.321885526,-0.094229197,0.115979165,-0.204189227,0.272598119,-0.01672622,0.157206907,1.424410327,0.280797639,0.4909339,Asia,Turkey
-0.163092527,0,0,0,0,0,0,0,1,0,0,0,0.901478874,0.181653731,-0.316640545,-0.997270729,0.482163567,1.673817732,0.309710209,1.406317354,-0.56597015,0.386367354,0.595176308,-0.19846901,0.880474692,0.702878932,Europe,Spain
-0.290229057,0,0,0,0,0,0,0,1,0,0,0,1.653614884,-0.061293891,-0.50498022,-1.051271806,0.497053365,-0.462856742,-0.333753616,1.486842683,-0.823503219,0.444617871,0.639375055,-0.370592576,0.603700668,0.884546102,Europe,Netherlands
-0.316103337,0,0,0,0,0,0,0,1,0,0,0,0.459857731,-0.267944557,-0.484455314,-1.087691137,1.077755487,0.451885684,0.185168824,1.339212913,-1.025216312,1.152944151,0.410345184,-0.346003495,0.719023178,0.218433145,Europe,Portugal
-0.015512006,0,0,0,0,0,0,0,0,1,0,0,1.336199687,1.029550609,-0.376878121,-1.293648735,1.113491003,-0.162493557,0.012194677,1.996836434,-1.558043351,0.924602127,0.639375055,-0.419770737,0.286120217,0.612045347,Europe,Germany
-0.341988783,0,0,0,0,0,0,0,1,0,0,0,1.446604973,-0.269880394,-0.493878652,-0.314094307,-0.250414496,0.745422433,-0.679701909,0.641326728,0.051855489,1.239154916,0.639375055,-0.911552355,0.342894376,0.248711007,Europe,Ireland
-0.08420563,0,0,0,0,0,0,0,1,0,0,0,1.156791098,0.70336197,-0.261799858,-0.79256897,0.470251728,0.629373021,-0.631269148,1.325792025,-0.659849199,0.905961961,0.639375055,-0.272236252,0.449345923,0.945101826,Europe,France
-0.316104055,0,0,0,0,0,0,0,0,0,1,0,0.915279535,-0.245198465,-0.468799018,-1.179367385,1.047975891,0.847818974,0.323548141,1.674735117,-1.188870331,2.31329444,0.639375055,0.465436173,0.601926475,0.218433145,Europe,Greece
-0.339488059,0,0,0,0,0,0,0,0,0,0,1,1.315498696,-0.255845572,-0.384543237,-1.03369006,0.91098975,0.486017865,-1.060245031,1.674735117,-1.199019418,0.111424917,0.679555734,-0.272236252,0.300313756,0.945101826,Europe,Finland
-0.153531085,0,0,0,0,0,0,0,0,1,0,0,-0.388882904,-0.242294708,-0.02870633,0.110379279,2.950892078,2.376940642,2.3992379,-0.673920313,-1.77624871,-0.261378389,0.133098499,-0.690250627,0.190313824,-1.628516418,Africa,South_Africa
-0.250760258,1,0,0,0,0,0,0,0,0,0,0,0.542661695,-0.210837347,0.351045238,0.092797533,-1.146780337,0.998000566,-1.060245031,-0.633657649,0.654457497,-0.615541529,-0.172274661,-0.690250627,0.190313824,-1.628516418,Middle_East,Saudi_Arabia
-0.012928269,1,0,0,0,0,0,0,0,0,0,0,-0.699397771,-0.305741786,-0.117640686,0.757136369,-0.703064356,0.779554613,0.323548141,-0.767866531,1.19235908,0.847711445,-0.469611686,-0.690250627,0.190313824,-1.628516418,Africa,Egypt
-0.232617751,1,0,0,0,0,0,0,0,0,0,0,-0.8650057,-0.342958265,-0.344253562,1.282077076,-0.703064356,0.131043191,0.669496434,-1.224176729,1.750558835,-1.013975062,-0.361123852,-0.690250627,0.190313824,-1.628516418,Middle_East,Iraq
-0.030733025,1,0,0,0,0,0,0,0,0,0,0,-0.395783235,-0.260201206,0.100064137,-0.006413749,-0.36953288,0.656678765,0.185168824,-0.432344326,0.278941298,-0.627191632,-0.244599883,-0.690250627,0.190313824,-1.628516418,Middle_East,Iran
-0.34897317,1,0,0,0,0,0,0,0,0,0,0,0.63926632,-0.339570549,-0.396174708,0.696856097,-1.111044821,0.110563883,-1.060245031,-0.794708307,1.268477228,-0.920774236,-0.067804896,-0.690250627,0.190313824,-1.628516418,Middle_East,Oman
-0.302835983,0,0,0,0,0,0,1,0,0,0,0,-1.023713298,-0.347957565,-0.219987879,3.199743245,1.616766176,0.042299523,3.36789312,-1.814695808,2.587858468,-0.391859546,-0.099949439,-0.690250627,0.190313824,-1.628516418,Africa,Zambia
-0.305143379,0,0,0,0,0,0,0,1,0,0,0,-0.561391163,-0.340296488,-0.015619149,3.052810081,4.829984588,-0.91340152,1.741936143,-1.599961598,1.281163586,-0.529330765,-0.630334402,-0.690250627,0.190313824,-1.628516418,Africa,Angola
-0.213083074,1,0,0,0,0,0,0,0,0,0,0,-0.623494137,-0.307338852,0.445270908,-0.239999805,-0.741777831,0.745422433,0.531117117,-0.324977221,0.190136792,-0.860193698,-0.529882704,-0.690250627,0.190313824,-1.628516418,Africa,Algeria
-0.268637561,0,0,0,0,0,0,1,0,0,0,0,-1.06511528,-0.348102753,-0.28571127,2.374657015,0.181389647,-0.756393491,2.3992379,-1.586540709,2.473681245,-1.013975062,-0.570063383,-0.690250627,0.190313824,-1.628516418,Africa,Madagascar
-0.239720944,1,0,0,0,0,0,0,0,0,0,0,-0.11286969,-0.28972273,-0.387912689,0.31131352,-0.6703068,-0.681302695,-0.81116226,-0.432344326,0.705202929,0.206955764,0.225514061,-0.690250627,0.121120318,0.551489624,SE_Asia_(ASEAN),Malaysia
-0.078220697,0,0,0,0,0,1,0,0,0,0,0,-0.526889512,-0.255361612,-0.313493612,-0.709683595,0.032491666,-0.838310724,-0.396024309,0.560801399,-0.576119236,-0.009736158,0.382218709,-0.690250627,0.190313824,-0.599069121,SE_Asia_(ASEAN),Thailand
0.023076251,0,0,0,0,0,1,0,0,0,0,0,-0.913308012,-0.325680914,-0.387359235,-0.192277923,-0.363576961,-0.613038335,-0.32683465,-0.298135444,0.072153662,0.316466735,0.43847166,-0.690250627,0.128217087,-0.720180568,SE_Asia_(ASEAN),Vietnam
0.071046325,0,0,0,0,0,0,0,1,0,0,0,-0.885706691,-0.311573497,-0.400032238,0.846300939,-0.643505164,-0.41507169,1.216094737,-0.955758965,1.120046839,0.276856383,0.382218709,0.244134446,-0.038557004,-0.144901195,SE_Asia_(ASEAN),Philippines
-0.341692233,0,0,0,0,0,1,0,0,0,0,0,3.157886904,-0.30772118,-0.521565978,-1.268531955,-0.664350881,-0.763219927,-1.060245031,1.352633801,-0.257691648,1.451186796,0.378200641,-0.001756363,1.011764934,1.399269751,SE_Asia_(ASEAN),Singapore
0.68224443,1,0,0,0,0,0,0,0,0,0,0,-0.837404378,-0.280527501,0.251512418,-0.062926505,-0.274238173,0.602067277,-0.137946882,-0.244451892,0.062004575,-0.419819794,0.293821215,0.563792497,-0.01371831,-0.296290504,SE_Asia_(ASEAN),Indonesia
-0.18428377,0,0,0,0,0,0,0,1,0,0,0,-0.11286969,-0.052519707,0.607148734,-0.133253489,0.059293303,-0.374113074,1.015444727,0.064228536,-0.003964487,0.036864255,0.567049832,4.719347161,0.190313824,1.157046858,South_America,Argentina
0.502925365,0,0,0,0,0,0,0,1,0,0,0,-0.381982574,0.680131918,2.935666764,-0.101857514,-0.244458577,-0.456030306,0.738686093,-0.096822122,0.144465903,0.360737127,0.221495993,0.539203416,0.174346092,1.005657549,South_America,Brazil
-0.217182471,0,0,0,0,0,0,0,1,0,0,0,1.591511911,0.259087236,3.532484835,-1.044992611,0.237970879,-0.367286638,-0.40986224,1.473421795,-0.286870272,0.943242292,0.639375055,-0.247647171,1.192732566,0.823990379,North_America,Canada
-0.290051567,0,0,0,0,0,0,0,1,0,0,0,-0.064567377,-0.235538635,2.54635055,-0.536377812,-0.360599001,-0.428724562,-0.264563957,0.278962747,-0.233587568,-0.799613161,0.506778814,-0.346003495,0.190313824,1.066213273,South_America,Chile
-0.298049381,0,0,0,0,0,0,0,1,0,0,0,-0.588992485,-0.288870962,-0.406707391,0.170659551,-0.649461083,-0.394592382,1.229932669,-0.579974096,0.536474367,-0.473410269,0.317929623,0.194956284,0.098055816,0.400100315,South_America,Ecuador
-0.349651533,0,0,0,0,0,0,0,0,1,0,0,-0.554490833,-0.340954673,-0.517386039,0.075215786,-0.190855304,-0.032791273,0.081384336,-0.781287419,-0.364257056,1.933501072,0.193369518,2.407973561,-0.757104952,-0.05406761,Caribbean,Jamaica
0.206610416,0,0,0,0,0,0,0,1,0,0,0,-0.168072333,0.438152215,0.275796995,0.066424913,-0.691152517,-0.544773975,0.199006756,-0.392081662,0.103869557,-0.156527459,0.121044295,0.342490769,-0.384524534,0.733156794,North_America,Mexico
-0.347134621,0,0,0,0,0,0,0,1,0,0,0,-0.230175306,-0.328725019,-0.491224265,0.104100084,-0.753689669,-0.626691207,0.711010229,-0.338398109,0.526325281,-0.005076116,0.32194769,0.170367203,0.11579774,0.642323209,Central_America,Panama
-0.344887265,0,0,0,0,0,0,0,1,0,0,0,-0.002464404,-0.324858183,-0.516249488,-0.910617837,0.229037,-0.094229197,-1.060245031,0.976848932,-0.971933608,-1.013975062,0.442489727,-0.075523605,0.037733272,1.36899189,Caribbean,Puerto Rico
0.969689572,0,0,0,0,0,0,0,0,1,0,0,2.12973768,6.695747326,3.468330038,-0.599169762,0.357089263,-0.258063662,-0.015481186,0.92316538,-0.072470821,0.437627809,0.639375055,-0.296825333,0.931926273,0.854268241,North_America,United_States_of_America
-0.269315631,0,0,0,0,0,0,0,0,1,0,0,1.701917197,-0.033708205,2.597593988,-0.787545614,-0.089604677,-0.121534941,-1.060245031,1.030532485,0.162226804,-0.394189567,0.639375055,-0.001756363,1.260151879,1.066213273,Oceania,Australia
-0.343606819,0,0,0,0,0,0,0,0,1,0,0,0.784173258,-0.298917959,-0.413143782,-0.618007347,-0.009199768,-0.469683178,-1.060245031,0.936586268,-0.175230321,-0.312638843,0.639375055,-0.124701767,0.594829705,0.975379688,Oceania,New_Zealand
-0.360890268,0,0,0,0,0,0,0,0,1,0,0,-0.775301405,-0.350537069,-0.516899584,0.283685062,0.074183101,-0.797352107,-1.060245031,-0.687341202,0.409610786,-1.013975062,-0.36514192,-0.001756363,0.190313824,-0.841292014,Oceania,Vanuatu
-0.361394635,0,0,0,0,0,0,1,0,0,0,0,-0.706298101,-0.350595144,-0.521545675,0.837510066,-0.679240679,-0.025964837,0.600306776,-1.157072288,-0.985888602,-1.013975062,0.635356987,0.194956284,-2.992587456,-0.932125599,Oceania,Tonga
-0.361755796,0,0,0,0,0,0,0,1,0,0,0,-0.568291494,-0.350629021,-0.521662619,-0.987224016,0.205213323,-0.626691207,-1.060245031,0.346067188,-0.833652305,-1.013975062,0.358110302,-0.026345444,0.325152451,0.884546102,Oceania,Palau
-0.361800057,0,0,0,0,0,0,0,0,1,0,0,-0.892607021,-0.350687096,-0.521838441,0.582574747,0.601281951,-0.91340152,-1.060245031,-0.794708307,-0.403584766,-1.013975062,-3.338512166,0.244134446,-1.055169286,-0.114623334,Oceania,Tuvalu
-0.359413802,0,0,0,0,0,0,0,0,1,0,0,-0.927108673,-0.350566107,-0.510115608,1.184121633,-0.96810276,-0.91340152,-1.060245031,-1.224176729,1.52220439,-1.013975062,-3.338512166,-0.370592576,-0.146782744,-1.053237046,Oceania,Solomon_Islands
-0.361805252,0,0,0,0,0,0,0,0,1,0,0,-0.782201735,-0.350619342,-0.521840471,1.152725658,-0.318907567,5.230390899,-1.060245031,-0.781287419,-0.519030625,-1.013975062,-3.338512166,-0.690250627,-2.568555457,1.399269751,Oceania,Nauru
-0.361390724,0,0,0,0,0,0,0,1,0,0,0,-0.975410985,-0.350580625,-0.521563947,0.454479168,-0.843028457,0.588414405,0.787118854,-0.982600742,-1.691250111,-1.013975062,0.237568265,-0.149290848,-3.533716157,-0.932125599,Oceania,Micronesia
-0.361559292,0,0,0,0,0,0,0,0,1,0,0,-0.954709994,-0.350609663,-0.521775502,1.319752246,-0.834094578,1.544115448,-1.060245031,-1.103388735,1.184747265,-1.013975062,0.426417456,2.481740803,-0.730492065,0.551489624,Oceania,Marshall_Islands
-0.361416625,0,0,0,0,0,0,0,1,0,0,0,-0.699397771,-0.350633861,-0.521519687,0.518526957,0.065249222,-0.776872799,-1.060245031,-1.009442518,0.29035902,-1.013975062,-3.338512166,-0.641072465,-0.315331028,-0.296290504,Oceania,Kiribati
-0.358090757,0,0,0,0,0,0,0,0,1,0,0,-0.823603717,-0.349356208,-0.514428734,0.315081037,-0.381444719,-0.394592382,0.704091264,-0.418923438,-0.281795729,-1.013975062,0.426417456,-1.501690295,-1.09420152,-0.05406761,Oceania,Fiji
