sample,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,2 legs,4 legs,5 legs,6 legs,8 legs,tail,domestic,catsize,class
21,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
22,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
23,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,mammals
24,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
25,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,mammals
26,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
27,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,mammals
28,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
29,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,mammals
30,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,mammals
31,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
32,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,mammals
33,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
34,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,mammals
35,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,mammals
36,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,mammals
37,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,mammals
38,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,mammals
39,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,mammals
40,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,mammals
41,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
42,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,saurian
43,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,saurian
44,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,saurian
45,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,saurian
46,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,saurian
47,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,toads
48,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,toads
49,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,toads
50,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,toads
